RawFrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-489,-16316.3163163163,1,0,0,1,1,0,0,1
290,9676.34300967634,3,0,0,3,3,0,0,3
380,12679.3460126793,0,0,0,0,0,0,0,0
410,13680.3470136803,0,1,1,0,0,1,1,0
1189,39673.006339673,0,3,3,0,0,3,3,0
1280,42709.3760427094,0,0,0,0,0,0,0,0
1308,43643.6436436436,1,0,0,1,1,0,0,1
2089,69703.036369703,3,0,0,3,3,0,0,3
2178,72672.6726726727,0,0,0,0,0,0,0,0
2209,73707.0403737071,0,1,1,0,0,1,1,0
2989,99733.0663997331,0,3,3,0,0,3,3,0
3078,102702.702702703,0,0,0,0,0,0,0,0
3108,103703.703703704,1,0,0,1,1,0,0,1
3887,129696.363029696,3,0,0,3,3,0,0,3
3978,132732.732732733,0,0,0,0,0,0,0,0
4007,133700.3670337,0,1,1,0,0,1,1,0
4786,159693.026359693,0,3,3,0,0,3,3,0
4876,162696.029362696,0,0,0,0,0,0,0,0
4907,163730.39706373,1,0,0,1,1,0,0,1
5685,189689.68968969,3,0,0,3,3,0,0,3
5775,192692.692692693,0,0,0,0,0,0,0,0
5805,193693.693693694,0,1,1,0,0,1,1,0
6584,219686.353019686,0,3,3,0,0,3,3,0
6674,222689.356022689,0,0,0,0,0,0,0,0
6704,223690.35702369,1,0,0,1,1,0,0,1
7483,249683.016349683,3,0,0,3,3,0,0,3
7573,252686.019352686,0,0,0,0,0,0,0,0
7603,253687.020353687,0,1,1,0,0,1,1,0
8382,279679.67967968,0,3,3,0,0,3,3,0
8473,282716.049382716,0,0,0,0,0,0,0,0
8502,283683.683683684,1,0,0,1,1,0,0,1
9282,309709.70970971,3,0,0,3,3,0,0,3
9371,312679.346012679,0,0,0,0,0,0,0,0
9402,313713.713713714,0,1,1,0,0,1,1,0
10180,339673.006339673,0,3,3,0,0,3,3,0
10270,342676.009342676,0,0,0,0,0,0,0,0
10301,343710.37704371,1,0,0,1,1,0,0,1
11080,369703.036369703,3,0,0,3,3,0,0,3
11170,372706.039372706,0,0,0,0,0,0,0,0
11199,373673.673673674,0,1,1,0,0,1,1,0
11979,399699.6996997,0,3,3,0,0,3,3,0
12069,402702.702702703,0,0,0,0,0,0,0,0
12098,403670.33700367,1,0,0,1,1,0,0,1
12878,429696.363029696,3,0,0,3,3,0,0,3
12968,432699.366032699,0,0,0,0,0,0,0,0
12998,433700.3670337,0,1,1,0,0,1,1,0
13777,459693.026359693,0,3,3,0,0,3,3,0
13867,462696.029362696,0,0,0,0,0,0,0,0
13896,463663.663663664,1,0,0,1,1,0,0,1
14675,489656.322989656,3,0,0,3,3,0,0,3
14765,492659.325992659,0,0,0,0,0,0,0,0
14795,493660.32699366,0,1,1,0,0,1,1,0
15574,519652.986319653,0,3,3,0,0,3,3,0
15665,522689.356022689,0,0,0,0,0,0,0,0
15693,523623.623623624,1,0,0,1,1,0,0,1
16474,549683.016349683,3,0,0,3,3,0,0,3
16563,552652.652652653,0,0,0,0,0,0,0,0
16594,553687.020353687,0,1,1,0,0,1,1,0
17374,579713.046379713,0,3,3,0,0,3,3,0
17463,582682.682682683,0,0,0,0,0,0,0,0
17492,583650.31698365,1,0,0,1,1,0,0,1
18272,609676.343009676,3,0,0,3,3,0,0,3
18361,612645.979312646,0,0,0,0,0,0,0,0
18390,613613.613613614,0,1,1,0,0,1,1,0
19171,639673.006339673,0,3,3,0,0,3,3,0
19260,642642.642642643,0,0,0,0,0,0,0,0
19289,643610.27694361,1,0,0,1,1,0,0,1
20070,669669.66966967,3,0,0,3,3,0,0,3
20160,672672.672672673,0,0,0,0,0,0,0,0
20190,673673.673673674,0,1,1,0,0,1,1,0
20970,699699.6996997,0,3,3,0,0,3,3,0
21060,702702.702702703,0,0,0,0,0,0,0,0
21089,703670.33700367,1,0,0,1,1,0,0,1
21871,729763.096429763,3,0,0,3,3,0,0,3
21959,732699.366032699,0,0,0,0,0,0,0,0
21989,733700.3670337,0,1,1,0,0,1,1,0
22768,759693.026359693,0,3,3,0,0,3,3,0
22858,762696.029362696,0,0,0,0,0,0,0,0
22889,763730.39706373,1,0,0,1,1,0,0,1
23667,789689.68968969,3,0,0,3,3,0,0,3
23757,792692.692692693,0,0,0,0,0,0,0,0
23787,793693.693693694,0,1,1,0,0,1,1,0
24567,819719.71971972,0,3,3,0,0,3,3,0
24656,822689.356022689,0,0,0,0,0,0,0,0
24686,823690.35702369,1,0,0,1,1,0,0,1
25466,849716.383049716,3,0,0,3,3,0,0,3
25556,852719.38605272,0,0,0,0,0,0,0,0
25585,853687.020353687,0,1,1,0,0,1,1,0
26365,879713.046379713,0,3,3,0,0,3,3,0
26455,882716.049382716,0,0,0,0,0,0,0,0
26485,883717.050383717,1,0,0,1,1,0,0,1
27264,909709.70970971,3,0,0,3,3,0,0,3
27354,912712.712712713,0,0,0,0,0,0,0,0
27384,913713.713713714,0,1,1,0,0,1,1,0
28163,939706.373039706,0,3,3,0,0,3,3,0
28253,942709.37604271,0,0,0,0,0,0,0,0
28282,943677.010343677,1,0,0,1,1,0,0,1
29063,969736.403069737,3,0,0,3,3,0,0,3
29152,972706.039372706,0,0,0,0,0,0,0,0
29182,973707.040373707,0,1,1,0,0,1,1,0
29962,999733.066399733,0,3,3,0,0,3,3,0
30052,1002736.06940274,0,0,0,0,0,0,0,0
30082,1003737.07040374,1,0,0,1,1,0,0,1
30861,1029729.72972973,3,0,0,3,3,0,0,3
30951,1032732.73273273,0,0,0,0,0,0,0,0
30980,1033700.3670337,0,1,1,0,0,1,1,0
31760,1059726.39305973,0,3,3,0,0,3,3,0
31850,1062729.39606273,0,0,0,0,0,0,0,0
31880,1063730.39706373,1,0,0,1,1,0,0,1
32658,1089689.68968969,3,0,0,3,3,0,0,3
32748,1092692.69269269,0,0,0,0,0,0,0,0
32779,1093727.06039373,0,1,1,0,0,1,1,0
33557,1119686.35301969,0,3,3,0,0,3,3,0
33647,1122689.35602269,0,0,0,0,0,0,0,0
33677,1123690.35702369,1,0,0,1,1,0,0,1
34456,1149683.01634968,3,0,0,3,3,0,0,3
34546,1152686.01935269,0,0,0,0,0,0,0,0
34577,1153720.38705372,0,1,1,0,0,1,1,0
35356,1179713.04637971,0,3,3,0,0,3,3,0
35446,1182716.04938272,0,0,0,0,0,0,0,0
35476,1183717.05038372,1,0,0,1,1,0,0,1
36013,1201634.96830164,1,0,0,1,1,0,0,1
