RawFrameID,timestamp(ms),Vehicle Traffic light 1,Vehicle Traffic light 2,Vehicle Traffic light 3,Vehicle Traffic light 4,Pedestrian Traffic light 1,Pedestrian Traffic light 2,Pedestrian Traffic light 3,Pedestrian Traffic light 4
2271,-14514.51451,0,3,0,3,0,0,0,0
2361,-11511.51151,1,0,1,0,0,0,0,0
3021,10510.51051,3,0,3,0,0,0,0,0
3111,13513.51351,0,0,0,0,0,0,0,0
3138,14414.41441,0,0,0,0,1,1,1,1
3711,33533.53353,0,1,0,1,0,0,0,0
4368,55455.45546,0,3,0,3,0,0,0,0
4458,58458.45846,1,0,1,0,0,0,0,0
5118,80480.48048,3,0,3,0,0,0,0,0
5208,83483.48348,0,0,0,0,0,0,0,0
5238,84484.48448,0,0,0,0,1,1,1,1
5808,103503.5035,0,1,0,1,0,0,0,0
6468,125525.5255,0,3,0,3,0,0,0,0
6558,128528.5285,1,0,1,0,0,0,0,0
7215,150450.4505,3,0,3,0,0,0,0,0
7305,153453.4535,0,0,0,0,0,0,0,0
7335,154454.4545,0,0,0,0,1,1,1,1
7908,173573.5736,0,1,0,1,0,0,0,0
8565,195495.4955,0,3,0,3,0,0,0,0
8655,198498.4985,1,0,1,0,0,0,0,0
9315,220520.5205,3,0,3,0,0,0,0,0
9405,223523.5235,0,0,0,0,0,0,0,0
9435,224524.5245,0,0,0,0,1,1,1,1
10005,243543.5435,0,1,0,1,0,0,0,0
10665,265565.5656,0,3,0,3,0,0,0,0
10755,268568.5686,1,0,1,0,0,0,0,0
11019,277377.3774,1,0,1,0,0,0,0,0
11412,290490.4905,3,0,3,0,0,0,0,0
11502,293493.4935,0,0,0,0,0,0,0,0
11532,294494.4945,0,0,0,0,1,1,1,1
12105,313613.6136,0,1,0,1,0,0,0,0
12762,335535.5355,0,3,0,3,0,0,0,0
12852,338538.5385,1,0,1,0,0,0,0,0
13512,360560.5606,3,0,3,0,0,0,0,0
13602,363563.5636,0,0,0,0,0,0,0,0
13632,364564.5646,0,0,0,0,1,1,1,1
14202,383583.5836,0,1,0,1,0,0,0,0
14862,405605.6056,0,3,0,3,0,0,0,0
14952,408608.6086,1,0,1,0,0,0,0,0
15609,430530.5305,3,0,3,0,0,0,0,0
15699,433533.5335,0,0,0,0,0,0,0,0
15729,434534.5345,0,0,0,0,1,1,1,1
16302,453653.6537,0,1,0,1,0,0,0,0
16959,475575.5756,0,3,0,3,0,0,0,0
17049,478578.5786,1,0,1,0,0,0,0,0
17709,500600.6006,3,0,3,0,0,0,0,0
17799,503603.6036,0,0,0,0,0,0,0,0
17829,504604.6046,0,0,0,0,1,1,1,1
18399,523623.6236,0,1,0,1,0,0,0,0
19059,545645.6456,0,3,0,3,0,0,0,0
19149,548648.6486,1,0,1,0,0,0,0,0
19806,570570.5706,3,0,3,0,0,0,0,0
19896,573573.5736,0,0,0,0,0,0,0,0
19926,574574.5746,0,0,0,0,1,1,1,1
20499,593693.6937,0,1,0,1,0,0,0,0
21156,615615.6156,0,3,0,3,0,0,0,0
21246,618618.6186,1,0,1,0,0,0,0,0
21906,640640.6406,3,0,3,0,0,0,0,0
21996,643643.6436,0,0,0,0,0,0,0,0
22026,644644.6446,0,0,0,0,1,1,1,1
22596,663663.6637,0,1,0,1,0,0,0,0
23256,685685.6857,0,3,0,3,0,0,0,0
23346,688688.6887,1,0,1,0,0,0,0,0
24003,710610.6106,3,0,3,0,0,0,0,0
24093,713613.6136,0,0,0,0,0,0,0,0
24123,714614.6146,0,0,0,0,1,1,1,1
24696,733733.7337,0,1,0,1,0,0,0,0
25353,755655.6557,0,3,0,3,0,0,0,0
25443,758658.6587,1,0,1,0,0,0,0,0
26103,780680.6807,3,0,3,0,0,0,0,0
26193,783683.6837,0,0,0,0,0,0,0,0
26223,784684.6847,0,0,0,0,1,1,1,1
26793,803703.7037,0,1,0,1,0,0,0,0
27450,825625.6256,0,3,0,3,0,0,0,0
27540,828628.6286,1,0,1,0,0,0,0,0
28200,850650.6507,3,0,3,0,0,0,0,0
28290,853653.6537,0,0,0,0,0,0,0,0
28320,854654.6547,0,0,0,0,1,1,1,1
28893,873773.7738,0,1,0,1,0,0,0,0
29550,895695.6957,0,3,0,3,0,0,0,0
29640,898698.6987,1,0,1,0,0,0,0,0
30300,920720.7207,3,0,3,0,0,0,0,0
30390,923723.7237,0,0,0,0,0,0,0,0
30420,924724.7247,0,0,0,0,1,1,1,1
30990,943743.7437,0,1,0,1,0,0,0,0
31650,965765.7658,0,3,0,3,0,0,0,0
31740,968768.7688,1,0,1,0,0,0,0,0
32397,990690.6907,3,0,3,0,0,0,0,0
32487,993693.6937,0,0,0,0,0,0,0,0
32517,994694.6947,0,0,0,0,1,1,1,1
33090,1013813.814,0,1,0,1,0,0,0,0
33747,1035735.736,0,3,0,3,0,0,0,0
33837,1038738.739,1,0,1,0,0,0,0,0
34497,1060760.761,3,0,3,0,0,0,0,0
34587,1063763.764,0,0,0,0,0,0,0,0
34617,1064764.765,0,0,0,0,1,1,1,1
35187,1083783.784,0,1,0,1,0,0,0,0
35847,1105805.806,0,3,0,3,0,0,0,0
35937,1108808.809,1,0,1,0,0,0,0,0
36594,1130730.731,3,0,3,0,0,0,0,0
36684,1133733.734,0,0,0,0,0,0,0,0
36714,1134734.735,0,0,0,0,1,1,1,1
37287,1153853.854,0,1,0,1,0,0,0,0
37944,1175775.776,0,3,0,3,0,0,0,0
38034,1178778.779,1,0,1,0,0,0,0,0
38694,1200800.801,3,0,3,0,0,0,0,0
38784,1203803.804,0,0,0,0,0,0,0,0
38814,1204804.805,0,0,0,0,1,1,1,1
39516,1228228.228,0,1,0,1,0,0,0,0
40044,1245845.846,0,3,0,3,0,0,0,0
40134,1248848.849,1,0,1,0,0,0,0,0
40791,1270770.771,3,0,3,0,0,0,0,0
40881,1273773.774,0,0,0,0,0,0,0,0
40911,1274774.775,0,0,0,0,1,1,1,1
41484,1293893.894,0,1,0,1,0,0,0,0
42141,1315815.816,0,3,0,3,0,0,0,0
42231,1318818.819,1,0,1,0,0,0,0,0
42891,1340840.841,3,0,3,0,0,0,0,0
42981,1343843.844,0,0,0,0,0,0,0,0
43011,1344844.845,0,0,0,0,1,1,1,1
