RawFrameID,timestamp(ms),Traffic light 1,Traffic light 2
42,,0,1
3762,60460.46046,0,3
3948,63563.56356,1,0
7662,125525.5255,3,0
7842,128528.5285,0,1
7662,125525.5255,3,0
7842,128528.5285,0,1
11562,190590.5906,0,3
11742,193593.5936,1,0
15456,255555.5556,3,0
15636,258558.5586,0,1
15462,255655.6557,3,0
15642,258658.6587,0,1
19368,320820.8208,0,3
19548,323823.8238,1,0
23256,385685.6857,3,0
23436,388688.6887,0,1
23262,385785.7858,3,0
23442,388788.7888,0,1
27168,450950.951,0,3
27348,453953.954,1,0
31056,515815.8158,3,0
31236,518818.8188,0,1
31062,515915.9159,3,0
31242,518918.9189,0,1
34962,580980.981,0,3
35142,583983.984,1,0
38856,645945.9459,3,0
39036,648948.9489,0,1
38862,646046.046,3,0
39042,649049.049,0,1
42762,711111.1111,0,3
42942,714114.1141,1,0
46656,776076.0761,3,0
46836,779079.0791,0,1
46662,776176.1762,3,0
46842,779179.1792,0,1
50562,841241.2412,0,3
50742,844244.2442,1,0
54456,906206.2062,3,0
54636,909209.2092,0,1
54462,906306.3063,3,0
54642,909309.3093,0,1
